id	seq_len
3707	2341
3708	2339
3709	850
3710	987
3711	1427
3712	1744
3713	2062
3714	1326
3717	197
3721	200
3722	101
3724	4352
3727	149
3728	861
3729	1764
3730	570
3731	192
3732	627
3733	405
3734	3111
3735	78
3737	6783
3738	33
3739	963
3741	1533
3742	8936
3743	506
3746	663
3749	26
3750	4492
3752	663
3753	375
3754	375
3755	963
3756	506
3757	1533
3759	711
3760	119
3761	10454
3762	685
3763	192
3764	48
3765	21
3766	159
3767	1242
3768	1937
3769	173
3770	810
3775	576
3776	363
3778	2997
3780	5054
3781	1257
3783	284
3785	1064
3789	966
3790	3201
3791	1005
3792	1123
3794	11473
3796	643
3797	399
3798	771
3799	3839
3801	1195
3802	3232
3803	2015
3804	14
3805	964
3806	7722
3807	2631
3808	28
3809	2094
3810	639
3811	2670
3812	66
3813	99
3814	714
3815	1656
3819	285
3820	1554
3821	31
3823	1251
3826	4104
3827	1901
3829	804
3830	1940
3832	477
3833	4702
3835	1108
3836	76
3837	1137
3838	6336
3840	24
3843	462
3844	573
3845	7029
3846	500
3847	6537
3849	1653
3850	6725
3851	1653
3852	726
3853	1200
3854	1287
3855	8693
3856	648
3857	57
3858	612
3859	6297
3860	4772
3861	795
